file,rows,r_min,r_max,vobs_min,vobs_max,err_min,err_max
CamB.csv,9,0.16,1.79,1.99,20.1,1.5,1.5
D512-2.csv,4,0.96,3.83,22.9,37.2,2.71,5.98
D564-8.csv,6,0.51,3.07,8.54,25,1.41,2.05
D631-7.csv,16,0.45,7.19,8.41,58.5,1.57,4.07
DDO064.csv,14,0.1,2.98,6.29,46.9,4.62,8.65
DDO154.csv,12,0.49,5.92,13.8,48.2,0.2,1.6
DDO161.csv,31,0.6,13.37,16,67.5,0.74,7.58
DDO168.csv,10,0.41,4.12,15,55,1.1,4.1
DDO170.csv,8,1.87,12.33,27.7,62.2,1,3
ESO079-G014.csv,15,0.41,16.67,33.2,178,2.03,11.8
ESO116-G012.csv,15,0.25,9.86,20.9,112,2.1,5.4
ESO444-G084.csv,7,0.26,4.44,18.3,63.1,1.26,7.36
ESO563-G021.csv,30,0.45,42.41,18.9,321,2.96,20.4
F561-1.csv,6,1.61,9.66,23.4,50.4,5,10
F563-1.csv,17,1.07,20.1,22.1,112.5,7.17,25.3
F563-V1.csv,6,1.31,7.87,12,29.5,5,5
F563-V2.csv,10,0.28,10.47,11.9,118,7.89,51.9
F565-V2.csv,7,1.26,8.8,21.7,83.1,5,10
F567-2.csv,5,1.92,9.59,26.9,52.2,5,10
F568-1.csv,12,0.44,13.23,15.7,142,9.1,24.8
F568-3.csv,18,0.64,17.98,12.4,120,1.88,15.6
F568-V1.csv,15,0.39,17.63,17.4,118,6.2,37.1
F571-8.csv,13,0.22,15.55,12.4,144,4,8.4
F571-V1.csv,7,1.95,13.59,32,84.3,6,10
F574-1.csv,14,0.47,12.6,15.3,99.7,4.36,6.28
F574-2.csv,5,2.17,10.83,12.6,40,8,10
F579-V1.csv,14,0.42,15.16,35.7,114,9.1,23
F583-1.csv,25,0.26,16.26,10,86.9,2.41,15.5
F583-4.csv,12,0.22,7.29,10.7,69.9,3.43,7.89
IC2574.csv,34,0.85,10.23,10.3,67.5,0.2,12
IC4202.csv,32,0.77,25.9,35.1,250,2.9,22.1
KK98-251.csv,15,0.25,3.13,4.25,34.6,2,2
NGC0024.csv,29,0.21,11.27,17.4,110,2.55,11.2
NGC0055.csv,21,1.23,13.5,28.7,87.4,0.8,7.3
NGC0100.csv,21,0.23,9.62,6.81,91.2,3,13.7
NGC0247.csv,26,1.08,14.54,34.6,108,0.7,9.4
NGC0289.csv,28,1.5,71.12,156,194,4.22,32
