r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.10,6.29,4.62,-1.13,1.96,0.00
0.30,13.90,4.62,-2.45,6.31,0.00
0.49,15.60,4.62,-0.64,9.67,0.00
0.69,18.40,4.62,2.49,13.92,0.00
0.89,22.50,4.62,1.87,15.16,0.00
1.09,26.50,4.62,4.97,16.41,0.00
1.29,35.30,4.62,9.29,17.34,0.00
1.48,40.50,4.62,13.62,18.34,0.00
1.68,44.20,4.89,16.26,19.12,0.00
1.88,46.30,4.62,18.16,19.54,0.00
2.08,46.40,4.62,19.64,19.10,0.00
2.27,46.30,4.62,20.17,18.77,0.00
2.37,46.40,6.73,20.59,18.61,0.00
2.98,46.90,8.65,22.17,17.21,0.00
