r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.64,12.40,8.60,1.18,13.56,0.00
1.18,21.90,6.20,1.55,21.17,0.00
1.80,32.30,1.88,1.60,27.72,0.00
2.03,37.90,6.20,1.54,29.76,0.00
2.78,53.10,9.50,1.46,36.40,0.00
3.00,62.40,11.00,1.62,38.08,0.00
3.64,68.00,6.20,2.96,42.40,0.00
4.19,78.00,7.98,5.28,45.43,0.00
4.60,82.30,6.20,6.86,46.43,0.00
5.14,85.70,6.30,8.92,47.19,0.00
5.39,85.50,6.51,9.95,47.91,0.00
6.31,89.50,15.60,14.48,50.48,0.00
9.10,95.20,15.50,26.69,51.31,0.00
10.17,97.50,6.20,29.90,52.01,0.00
11.99,101.00,10.20,33.72,51.60,0.00
14.02,107.00,10.70,36.41,50.13,0.00
15.94,117.00,11.70,38.69,49.27,0.00
17.98,120.00,12.00,39.00,48.97,0.00
