r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.13,232.00,33.40,-2.47,8.23,149.99
0.25,233.00,16.90,-2.73,15.54,220.78
0.38,234.00,14.60,-2.63,23.07,253.99
0.51,235.00,10.60,-2.41,30.21,269.15
0.63,236.00,9.12,-2.13,36.51,276.27
0.76,237.00,10.30,-1.79,43.02,278.60
0.89,238.00,9.95,-1.58,49.25,279.31
1.01,239.00,3.51,-1.03,54.76,280.44
1.14,240.00,3.18,0.66,60.48,280.12
1.27,240.00,5.19,1.42,65.96,277.94
1.39,241.00,3.54,1.91,70.82,277.61
1.52,242.00,2.60,2.31,75.88,276.52
1.65,242.00,1.75,2.69,80.73,274.47
1.77,243.00,1.94,3.02,85.03,272.42
1.90,244.00,3.09,3.34,89.52,270.29
2.03,244.00,1.60,3.66,93.85,268.35
2.16,244.00,3.00,3.96,97.99,266.67
2.28,245.00,2.19,4.26,101.66,265.58
2.41,245.00,3.01,4.56,105.49,264.78
2.54,246.00,2.64,4.87,109.17,264.37
2.66,246.00,2.38,5.17,112.45,264.00
2.79,246.00,3.72,5.46,115.87,263.68
2.92,247.00,3.54,5.76,119.17,263.16
3.04,247.00,3.74,6.05,122.10,262.58
3.17,247.00,5.11,6.34,125.13,261.72
3.30,247.00,3.63,6.65,128.05,260.64
3.42,247.00,3.84,6.94,130.65,259.42
3.55,248.00,5.12,7.23,133.35,257.92
3.68,248.00,2.77,7.53,135.94,256.73
3.80,248.00,3.24,7.83,138.27,255.39
3.93,248.00,6.79,8.14,140.68,253.66
4.06,248.00,8.39,8.44,143.00,251.85
4.18,248.00,2.73,8.74,145.04,249.97
4.31,248.00,13.70,9.04,147.17,247.82
4.44,248.00,4.89,9.34,149.24,245.63
4.56,248.00,5.71,9.66,151.08,243.50
4.69,248.00,15.10,9.96,152.98,241.12
4.82,248.00,10.50,10.27,154.80,238.76
4.94,248.00,1.58,10.63,156.43,236.51
4.99,248.00,4.77,10.73,157.09,235.57
5.07,248.00,4.36,10.94,158.13,234.04
5.20,248.00,8.45,11.25,159.77,231.52
5.45,247.00,8.25,11.88,162.71,226.76
5.58,247.00,2.34,12.19,164.01,224.24
5.70,247.00,2.34,12.50,165.02,222.01
5.83,247.00,6.13,12.81,165.84,219.54
6.47,247.00,6.89,14.58,169.31,208.79
6.59,246.00,5.95,14.90,170.15,206.90
6.66,246.00,2.29,15.11,170.65,205.85
6.72,246.00,4.73,15.31,171.08,204.88
6.85,246.00,3.02,15.63,172.07,202.98
6.97,246.00,5.81,16.04,173.03,201.26
7.10,246.00,6.32,16.36,174.15,199.41
7.23,246.00,8.92,16.67,175.27,197.66
8.32,246.00,2.13,19.69,182.58,184.24
10.00,245.00,2.18,23.65,183.56,168.07
11.61,245.00,0.94,26.98,182.90,155.97
13.35,246.00,2.02,29.27,173.27,145.45
14.98,245.00,1.33,30.52,164.53,137.31
16.61,245.00,1.36,32.19,157.52,130.40
18.34,245.00,1.59,34.17,152.73,124.10
19.97,245.00,2.03,36.46,150.07,118.93
21.60,245.00,2.36,38.96,146.26,114.35
23.33,244.00,4.61,41.25,143.04,110.03
26.70,243.00,10.60,44.17,136.92,102.85
29.95,239.00,17.00,44.80,130.32,97.11
33.32,231.00,18.30,44.07,123.68,92.07
36.68,219.00,12.10,44.17,117.57,87.75
39.94,210.00,7.50,43.75,111.91,84.09
43.30,210.00,3.56,43.34,107.39,80.76
46.67,212.00,2.64,44.90,104.00,77.79
49.92,213.00,6.50,46.88,101.06,75.22
53.29,218.00,6.53,47.82,96.26,72.80
