r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.41,15.0,4.1,10.41,8.28,0.0,13.301372109673498,8.107878494533837,15.577682551718798,1.6986278903265024,-0.577682551718798,0.41429948544548845,-0.1408981833460483
0.82,23.4,1.3,18.08,12.66,0.0,22.071746645881923,15.414109903516751,26.92130725127762,1.3282533541180754,-3.521307251277623,1.0217333493215965,-2.708697885598171
1.24,29.2,1.5,20.09,15.11,0.0,25.138022993067693,22.150129519336346,33.50445399828768,4.061977006932306,-4.304453998287681,2.707984671288204,-2.869635998858454
1.64,36.2,1.1,20.2,15.99,0.0,25.762765767673315,27.930838478886212,37.99805045174858,10.437234232326688,-1.7980504517485798,9.488394756660625,-1.6345913197714361
2.06,44.0,1.1,22.0,16.89,0.0,27.735754902291735,33.40069238140331,43.415185725240576,16.264245097708265,0.5848142747594238,14.785677361552967,0.5316493406903853
2.47,52.1,1.2,22.63,17.03,0.0,28.32203735609428,38.206157338168076,47.558892528620284,23.77796264390572,4.541107471379718,19.814968869921433,3.7842562261497648
2.89,52.9,1.7,22.95,16.99,0.0,28.554554803043242,42.63658177998126,51.315111866593746,24.345445196956756,1.5848881334062526,14.320850115856915,0.9322871372977957
3.3,54.8,2.2,22.74,17.19,0.0,28.506204587773517,46.5288702721712,54.56683487984745,26.29379541222648,0.23316512015254887,11.951725187375672,0.10598414552388584
3.71,55.0,2.5,22.74,17.16,0.0,28.488123841348344,50.03631805319468,57.57782840921022,26.511876158651656,-2.5778284092102197,10.604750463460663,-1.031131363684088
4.12,52.0,2.7,22.74,16.37,0.0,28.01935937882949,53.19697532751839,60.124892382411794,23.98064062117051,-8.124892382411794,8.88171874858167,-3.0092194008932567
