galaxy,n,chi2_bary,redchi2_bary,chi2_qds,redchi2_qds,improve_pct,v0,lam,out_csv
CamB,9,85.2602,9.47336,85.2602,12.18,-28.571,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/CamB_QDS_bestfit.csv
D512-2,4,44.4258,11.1064,0.130817,0.0654087,99.411,32.3744,1.28673,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/D512-2_QDS_bestfit.csv
D564-8,6,171.085,28.5141,0.806581,0.201645,99.293,31.9212,2.35105,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/D564-8_QDS_bestfit.csv
D631-7,16,1408.1,88.0062,35.6422,2.54587,97.107,114.214,9.42785,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/D631-7_QDS_bestfit.csv
DDO064,14,117.325,8.38033,4.1337,0.344475,95.889,56.5572,1.95333,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/DDO064_QDS_bestfit.csv
DDO154,12,65173.2,5431.1,42.2588,4.22588,99.922,50.0837,2.18673,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/DDO154_QDS_bestfit.csv
DDO161,31,10061.1,324.551,21.0752,0.726729,99.776,67.2562,6.30397,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/DDO161_QDS_bestfit.csv
DDO168,10,1249.1,124.91,43.8659,5.48323,95.610,82.0033,3.93819,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/DDO168_QDS_bestfit.csv
DDO170,8,3927.75,490.969,10.6296,1.77161,99.639,55.0301,3.32388,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/DDO170_QDS_bestfit.csv
ESO079-G014,15,1654.38,110.292,31.2725,2.40558,97.819,140.529,8.66975,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/ESO079-G014_QDS_bestfit.csv
ESO116-G012,15,2783.66,185.577,16.9212,1.30163,99.299,108.138,4.31724,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/ESO116-G012_QDS_bestfit.csv
ESO444-G084,7,1807.77,258.253,4.20082,0.840164,99.675,63.6181,1.28673,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/ESO444-G084_QDS_bestfit.csv
ESO563-G021,30,1805.26,60.1754,417.496,14.9106,75.221,243.517,14.3032,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/ESO563-G021_QDS_bestfit.csv
F561-1,6,3.7274,0.621233,3.7274,0.931849,-50.000,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F561-1_QDS_bestfit.csv
F563-1,17,453.434,26.6726,9.39019,0.626013,97.653,103.005,3.32388,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F563-1_QDS_bestfit.csv
F563-V1,6,0.870525,0.145088,0.869688,0.217422,-49.856,1.61098,0.403061,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F563-V1_QDS_bestfit.csv
