r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.45,8.41,1.58,8.4,9.99,0.0,13.052206709978202,5.33399311616469,14.100056119154006,-4.642206709978202,-5.690056119154006,-2.9381055126444315,-3.6013013412367125
0.9,17.8,2.22,13.51,15.52,0.0,20.57645499108143,10.415588959645483,23.0624151678936,-2.7764549910814296,-5.2624151678936,-1.2506554013880313,-2.370457282834955
1.35,26.0,2.35,16.7,20.76,0.0,26.643340631384795,15.256730624831702,30.70236846496826,-0.6433406313847954,-4.702368464968259,-0.27376197080204057,-2.0010078574333017
1.8,30.9,2.22,18.72,21.37,0.0,28.40977472631559,19.868796075189948,34.668203839793655,2.490225273684409,-3.7682038397936566,1.1217230962542382,-1.6973891170241695
2.25,34.7,1.82,19.9,19.92,0.0,28.156995578363823,24.262624884487998,37.16841893712155,6.54300442163618,-2.468418937121548,3.5950573745253736,-1.3562741412755759
2.69,38.8,1.81,20.61,18.76,0.0,27.869512015821158,28.357710737526435,39.76014912287455,10.93048798417884,-0.9601491228745545,6.038943637667867,-0.5304691286599749
3.14,42.5,1.57,20.73,17.36,0.0,27.03890715247197,32.34985569344137,42.16177965155742,15.461092847528029,0.338220348442583,9.847829839189828,0.21542697353030762
3.59,45.6,1.59,20.61,16.32,0.0,26.289056658617476,36.153097799823506,44.70079395853728,19.310943341382526,0.899206041462719,12.145247384517312,0.5655383908570559
4.04,48.8,1.83,20.38,15.37,0.0,25.52609057415569,39.776375681636566,47.26247308771187,23.27390942584431,1.5375269122881292,12.717983292811097,0.8401786405946061
4.49,51.8,1.91,19.9,14.49,0.0,24.616459940454476,43.2282050003133,49.74583206208448,27.18354005954552,2.0541679379155156,14.232219926463625,1.0754805957672857
4.94,54.8,2.19,19.43,13.72,0.0,23.785779364990336,46.516698467812425,52.24525372074848,31.01422063500966,2.5547462792515176,14.161744582196192,1.1665508124436155
5.39,56.6,2.73,18.84,13.04,0.0,22.912599154177162,49.64958491363762,54.68151865206847,33.687400845822836,1.9184813479315324,12.339707269532175,0.7027404204877408
5.84,58.4,3.27,18.25,12.45,0.0,22.092193191261025,52.6342274496313,57.08263220296976,36.307806808738974,1.3173677970302364,11.10330483447675,0.40286476973401725
6.29,58.5,3.95,17.65,11.93,0.0,21.303694515271285,55.477640775235066,59.42740130601391,37.19630548472871,-0.9274013060139126,9.416786198665497,-0.23478514076301582
6.74,57.7,4.07,17.06,11.48,0.0,20.562927807099843,58.18650766388889,61.71307539022667,37.13707219290016,-4.013075390226668,9.124587762383332,-0.9860136093923015
7.19,57.3,3.94,16.47,11.08,0.0,19.850120906432785,60.76719466931643,63.927140151727414,37.44987909356721,-6.627140151727417,9.505045455220104,-1.6820152669358928
