r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.25,20.9,3.4,-0.22,17.33,0.0,17.33139636613276,6.17801978530452,18.399598595285006,3.5686036338672373,2.5004014047149923,1.0495893040785993,0.7354121778573507
0.83,40.0,3.29,-1.8,34.96,0.0,35.00630800298712,19.202967736199906,39.927378700304565,4.993691997012881,0.07262129969543452,1.5178395127698727,0.022073343372472496
1.38,51.5,2.96,-1.55,51.34,0.0,51.36339260601854,30.035521361282566,59.500677672141364,0.13660739398145694,-8.000677672141364,0.046151146615357075,-2.7029316459937043
1.85,67.9,3.45,5.01,61.73,0.0,61.93297183245771,38.25762951262328,72.7965604676838,5.967028167542296,-4.896560467683798,1.7295733818963175,-1.4192928891837095
2.68,80.2,2.93,12.54,60.49,0.0,61.776141834854016,50.75749482916632,79.95383031057891,18.423858165145987,0.24616968942109452,6.288006199708527,0.08401695884678993
3.19,83.3,3.08,16.68,63.17,0.0,65.33506944972203,57.325746991972416,86.91900004134675,17.96493055027797,-3.6190000413467516,5.832769659181158,-1.17500001342427
3.68,91.4,2.83,20.19,65.14,0.0,68.19718249312064,62.94477015622734,92.80570989987787,23.20281750687937,-1.4057098998778628,8.198875444126985,-0.49671727910878544
4.13,102.0,5.4,22.31,66.32,0.0,69.97198367918405,67.57144448929085,97.27270228779149,32.02801632081595,4.727297712208511,5.931114133484435,0.8754255022608353
5.23,105.0,4.21,25.63,64.52,0.0,69.42425584765024,77.04073736527755,103.70632822439367,35.575744152349756,1.2936717756063274,8.450295523123458,0.30728545738867635
6.05,109.0,2.1,27.28,60.09,0.0,65.99247305564477,82.6830351243164,105.78984260017093,43.007526944355234,3.210157399829072,20.479774735407254,1.5286463808709865
6.81,108.0,2.1,28.58,55.74,0.0,62.639955300111765,87.03553380509513,107.23314853503956,45.360044699888235,0.766851464960439,21.600021285661064,0.3651673642668757
7.56,109.0,2.1,30.7,53.61,0.0,61.778006604292436,90.64027873684756,109.69130425650623,47.221993395707564,-0.6913042565062284,22.486663521765507,-0.32919250309820397
8.32,110.0,2.1,33.83,51.18,0.0,61.35031621760397,93.70608359883454,112.0030865799321,48.64968378239603,-2.003086579932102,23.166516086855253,-0.9538507523486199
9.09,111.0,2.33,35.49,49.08,0.0,60.56720647347044,96.30703098925092,113.76919933780204,50.43279352652956,-2.7691993378020356,21.644975762459037,-1.1884975698721183
9.86,112.0,4.74,33.74,46.34,0.0,57.32175154337139,98.48234839917879,113.94979660454526,54.67824845662861,-1.9497966045452557,11.535495454984938,-0.41134949462980075
