r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.77,35.1,3.96,2.22,20.98,133.76,135.41353846643253,4.543147672536811,135.4897287279537,-100.31353846643253,-100.3897287279537,-25.33170163293751,-25.350941597968106
1.59,77.9,3.95,3.89,40.96,176.62,181.3490504524355,9.340050299888535,181.58941224533012,-103.4490504524355,-103.68941224533012,-26.189633025933038,-26.250484112741802
2.36,115.0,6.7,4.02,58.24,176.92,186.30282982284513,13.80604664918694,186.81368077332965,-71.30282982284513,-71.81368077332965,-10.642213406394795,-10.718459816914873
3.13,156.0,3.16,0.9,74.68,172.53,188.001365154618,18.23515266953987,188.88365226477765,-32.001365154617986,-32.88365226477765,-10.12701428943607,-10.406219071132169
3.95,192.0,3.14,0.0,91.45,173.49,196.11701252058683,22.911643912446515,197.45081926082443,-4.117012520586826,-5.4508192608244315,-1.3111504842633204,-1.7359297008995005
4.73,204.0,2.9,0.0,107.35,174.08,204.51862726900941,27.321842085029818,206.33553245846753,-0.5186272690094142,-2.335532458467526,-0.17883698931359113,-0.8053560201612159
5.5,209.0,3.36,0.0,120.52,167.74,206.54727788087646,31.639304006151974,208.95651116438967,2.4527221191235355,0.0434888356103329,0.7299768211677189,0.012943105836408602
6.27,220.0,3.25,0.0,132.68,159.21,207.24817610777666,35.921102532586595,210.33813754798868,12.751823892223342,9.66186245201132,3.9236381206841053,2.9728807544650215
7.08,231.0,3.49,0.0,150.86,150.44,213.0514801638327,40.387165082616015,216.84569699076457,17.948519836167293,14.154303009235434,5.142842359933321,4.05567421468064
7.86,235.0,4.65,0.24,170.8,142.84,222.65660376463126,44.651143915235785,227.0896031370417,12.343396235368743,7.910396862958294,2.654493814057794,1.7011606156899555
8.66,245.0,6.0,0.0,187.59,136.33,231.89626344553292,48.987397154789086,237.01401241277074,13.103736554467076,7.9859875872292605,2.1839560924111794,1.3309979312048767
9.45,246.0,5.57,3.8,199.82,130.53,238.70599762050387,53.232932524004596,244.56961872870724,7.294002379496135,1.4303812712927595,1.3095156875217477,0.25680094637212914
10.24,239.0,6.95,0.0,208.12,125.41,242.98477832983693,57.44249161144818,249.68228279661992,-3.984778329836928,-10.682282796619916,-0.5733493999765363,-1.537019107427326
11.02,240.0,7.16,3.35,212.98,120.9,244.92552521123642,61.56376691244634,252.5442739332057,-4.925525211236419,-12.544273933205687,-0.6879225155358127,-1.7519935660901798
11.79,240.0,4.85,15.63,214.9,116.92,245.14606523458622,65.59838134069068,253.77104037797275,-5.146065234586217,-13.771040377972753,-1.0610443782651995,-2.839389768654176
12.47,246.0,7.68,22.51,214.77,113.67,244.03631266678326,69.1336969157294,253.63988241054665,1.9636873332167397,-7.639882410546647,0.25568845484592967,-0.994776355539928
13.34,241.0,6.21,30.77,213.03,109.94,241.6927334447604,73.61922381932257,252.6562239798567,-0.6927334447603926,-11.65622397985669,-0.11155127934949961,-1.8770086924084848
14.11,250.0,5.62,37.16,210.67,106.85,239.12264008244807,77.5542569366799,251.38476439315204,10.877359917551928,-1.3847643931520395,1.9354732949380655,-0.24639935821210665
14.59,242.0,5.1,39.71,209.26,105.08,237.50460648164278,79.99080065421573,250.61318059771412,4.4953935183572185,-8.61318059771412,0.8814497094818076,-1.6888589407282588
14.98,244.0,7.41,41.88,208.03,103.7,236.18659000883179,81.96123675083247,250.00349923496273,7.813409991168214,-6.003499234962732,1.0544412943546848,-0.8101888306292485
15.75,248.0,5.08,44.73,205.55,101.13,233.40705280689355,85.8273626015825,248.68692862943865,14.592947193106454,-0.6869286294386541,2.872627400217806,-0.13522217114934135
16.52,249.0,5.22,46.3,203.07,98.75,230.50526544962048,89.66155321476782,247.32947969234206,18.49473455037952,1.670520307657938,3.543052595858146,0.32002304744404947
17.1,246.0,6.35,46.79,201.06,97.06,228.11197097039866,92.52871751136009,246.16383744225527,17.88802902960134,-0.16383744225527153,2.8170124456065104,-0.02580117200870418
17.88,241.0,16.2,46.99,198.19,94.92,224.71569282095098,96.35642303879082,244.50297106749116,16.284307179049023,-3.50297106749116,1.005204146854878,-0.21623278194389878
18.65,247.0,14.6,47.18,195.23,92.94,221.31097781176604,100.10364078575923,242.89768998194347,25.689022188233963,4.102310018056528,1.7595220676872578,0.28098013822304985
19.62,234.0,20.9,47.77,191.47,90.61,217.1471986924998,104.7801366325628,241.1053357616511,16.852801307500187,-7.105335761651105,0.8063541295454635,-0.33996821826081847
20.78,249.0,10.0,51.51,186.83,88.05,212.86505467079374,110.3088652539582,239.74898801374724,36.13494532920626,9.251011986252763,3.613494532920626,0.9251011986252763
22.13,236.0,16.1,57.31,181.4,85.32,208.49436083501155,116.65677572349965,238.91149370049757,27.50563916498845,-2.911493700497573,1.7084247928564253,-0.1808381180433275
23.0,245.0,22.1,59.87,177.88,83.69,205.49872846321944,120.69900675219652,238.3232628825117,39.501271536780564,6.676737117488301,1.7873878523430118,0.30211480169630317
23.58,243.0,4.2,61.24,175.64,82.65,203.54549786227156,123.37285789134748,238.0160325782249,39.45450213772844,4.983967421775105,9.393929080411533,1.1866589099464535
25.03,238.0,7.76,61.05,170.07,80.22,197.70218966920928,129.98485222036837,236.60561617753498,40.297810330790725,1.3943838224650165,5.193016795204991,0.17968863691559492
25.9,247.0,6.14,60.16,166.98,78.87,194.22158196245852,133.90275878441386,235.90670128268275,52.778418037541485,11.093298717317253,8.595833556602848,1.8067261754588362
