r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
1.44,26.1,3.3,9.09,27.58,0.0,29.03936121886981,12.869068721895824,31.76314577885631,-2.9393612188698093,-5.6631457788563075,-0.8907155208696392,-1.7161047814716084
2.88,43.0,3.47,16.12,37.24,0.0,40.57920649790974,22.082222879357257,46.19844767190353,2.4207935020902625,-3.19844767190353,0.697635015011603,-0.9217428449289711
4.33,48.5,2.35,15.32,39.71,0.0,42.56273604927202,28.71658582147037,51.34421877136581,5.937263950727981,-2.84421877136581,2.5264952981821196,-1.2103058601556638
5.76,52.5,2.0,18.34,39.12,0.0,43.20567092408125,33.400106524860014,54.61041215621794,9.294329075918753,-2.11041215621794,4.647164537959377,-1.05520607810897
7.2,56.4,2.05,17.63,37.66,0.0,41.58235803799491,36.780692549469634,55.514969552532506,14.81764196200509,0.8850304474674928,7.228118030246386,0.431722169496338
8.64,58.5,2.21,22.27,36.69,0.0,42.91979729681863,39.20090343343949,58.12761675828322,15.58020270318137,0.3723832417167827,7.0498654765526565,0.16849920439673427
10.08,61.5,2.1,25.8,36.12,0.0,44.38799837793995,40.93356773490849,60.38088577942809,17.11200162206005,1.119114220571909,8.148572200980976,0.5329115336056709
11.47,64.6,2.01,29.52,34.86,0.0,45.67986427300326,42.13752219321362,62.146768030071925,18.920135726996733,2.453231969928069,9.413002849252107,1.2205134178746615
13.0,65.6,2.12,36.98,33.7,0.0,50.03209369994424,43.082735363072366,66.0252412821379,15.567906300055753,-0.4252412821379039,7.3433520283281855,-0.2005855104424075
14.42,65.4,2.65,38.39,31.99,0.0,49.971513885412755,43.70524282470247,66.38750221514744,15.428486114587251,-0.9875022151474298,5.822070231919717,-0.37264234533865276
15.84,65.5,3.05,37.89,29.33,0.0,47.915561146667166,44.152978392472335,65.15663052158337,17.584438853332834,0.34336947841663346,5.765389787977979,0.11258015685791262
17.26,65.1,3.22,39.0,27.53,0.0,47.737835099635596,44.47501009651212,65.24513332873843,17.362164900364398,-0.14513332873843865,5.3919766771318,-0.045072462341130014
18.68,64.9,3.48,34.46,26.15,0.0,43.258688144695284,44.70662988701322,62.20929878928378,21.64131185530472,2.6907012107162274,6.218767774512851,0.7731900030793757
