r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.42,35.7,9.1,-1.7,15.39,0.0,15.483607460795433,33.788108256147254,37.16689870744028,20.21639253920457,-1.4668987074402793,2.221581597714788,-0.16119766015827244
1.47,83.3,9.3,-4.3,40.7,0.0,40.92651951974417,69.85948666535529,80.96497932530431,42.37348048025583,2.3350206746956843,4.556288223683422,0.25107749190276174
2.11,94.2,10.4,-3.8,48.7,0.0,48.84802964296513,77.26388096884838,91.41026912972289,45.35197035703487,2.7897308702771113,4.360766380484122,0.26824335291126067
2.84,97.6,9.1,-0.8,53.6,0.0,53.605969816803054,80.91220956186537,97.0586712055302,43.99403018319694,0.5413287944697913,4.834508811340323,0.059486680710966085
3.9,101.0,9.1,5.9,57.61,0.0,57.91132963419162,82.72935579310132,100.98449588893112,43.08867036580838,0.015504111068878501,4.735018721517405,0.0017037484691075277
4.74,105.0,16.7,10.47,63.1,0.0,63.96273055459718,83.1626814692575,104.91550166280093,41.03726944540282,0.08449833719906508,2.4573215236768156,0.005059780670602699
5.69,106.0,9.1,13.24,67.96,0.0,69.23770071283418,83.32670226083239,108.33835197964481,36.76229928716582,-2.3383519796448127,4.03981310847976,-0.2569617560049245
6.32,108.0,11.5,14.88,69.85,0.0,71.41734313176316,83.36637051749756,109.774262162224,36.58265686823684,-1.7742621622240051,3.181100597237986,-0.15428366628034826
7.37,110.0,23.0,17.96,72.36,0.0,74.55555780758401,83.39082154620083,111.85955622185487,35.44444219241599,-1.8595562218548736,1.5410627040180866,-0.08085027051542928
8.21,112.0,19.7,20.83,72.55,0.0,75.48106650014955,83.3967520525076,112.4829304957309,36.51893349985045,-0.48293049573089775,1.8537529695355557,-0.024514238361974507
9.16,113.0,9.1,23.19,73.73,0.0,77.29093737301936,83.3989968452637,113.7069992339799,35.70906262698064,-0.7069992339799,3.924072816151719,-0.07769222351427474
10.85,114.0,9.1,26.37,73.37,0.0,77.96495238246479,83.39987592739054,114.16686517858032,36.03504761753521,-0.16686517858032346,3.9598953425862873,-0.018336832811024557
12.21,114.0,9.1,28.32,69.96,0.0,75.47465799856266,83.3999769205455,112.48102128958254,38.52534200143734,1.518978710417457,4.233554066092015,0.16692073740851177
15.16,114.0,11.2,33.04,63.57,0.0,71.64346795067922,83.39999939911311,109.94701632955788,42.356532049320776,4.052983670442117,3.7818332186893553,0.3618735420037605
