r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.25,4.25,2.0,1.87,2.88,0.0,3.433846240005513,2.951950833961473,4.528279333933126,0.8161537599944868,-0.278279333933126,0.4080768799972434,-0.139139666966563
0.41,6.84,2.0,3.32,3.93,0.0,5.14463798532025,4.7795194041706734,7.022186677584411,1.6953620146797501,-0.18218667758441143,0.8476810073398751,-0.09109333879220571
0.57,9.56,2.0,4.8,4.8,0.0,6.788225099390856,6.560405962532631,9.440282114070198,2.7717749006091443,0.11971788592980204,1.3858874503045722,0.05985894296490102
0.74,12.3,2.0,6.44,6.36,0.0,9.051143574156804,8.4027815158321,12.350301097657887,3.248856425843197,-0.05030109765788637,1.6244282129215986,-0.025150548828943187
0.9,15.1,2.0,8.03,7.43,0.0,10.940100547984008,10.091118241821466,14.883429287984068,4.159899452015992,0.21657071201593148,2.079949726007996,0.10828535600796574
1.07,17.5,2.0,9.79,8.56,0.0,13.004526135157713,11.837748477809964,17.58550508299071,4.495473864842287,-0.08550508299071069,2.2477369324211436,-0.042752541495355345
1.24,19.7,2.0,11.57,9.52,0.0,14.983167221919402,13.537013861343437,20.192722557451344,4.716832778080597,-0.4927225574513443,2.3584163890402987,-0.24636127872567215
1.4,21.8,2.0,13.11,10.08,0.0,16.537185371156724,15.094205688538526,22.390032277062684,5.262814628843277,-0.5900322770626829,2.6314073144216383,-0.29501613853134145
1.57,24.4,2.0,14.44,10.55,0.0,17.883402920026153,16.705162961898377,24.47199561914764,6.516597079973845,-0.07199561914764274,3.2582985399869226,-0.03599780957382137
1.72,27.3,2.0,15.54,10.95,0.0,19.01036822368257,18.090278197134438,26.242184841390735,8.289631776317432,1.057815158609266,4.144815888158716,0.528907579304633
1.89,30.3,2.0,16.53,11.36,0.0,20.057180759019946,19.61998843297584,28.057698517699304,10.242819240980054,2.2423014823006966,5.121409620490027,1.1211507411503483
2.06,32.6,2.0,17.3,11.57,0.0,20.81237372334064,21.10821621985543,29.64307156797635,11.78762627665936,2.956928432023652,5.89381313832968,1.478464216011826
2.46,33.3,2.0,18.07,12.23,0.0,21.81966544198146,24.45267507872302,32.7724139865467,11.480334558018537,0.5275860134532948,5.740167279009269,0.2637930067266474
2.79,34.6,2.0,18.07,12.94,0.0,22.22540213359479,27.053554685799604,35.012330986918734,12.37459786640521,-0.4123309869187324,6.187298933202605,-0.2061654934593662
3.13,34.2,2.0,17.41,12.45,0.0,21.403518402356188,29.591954571143543,36.521149699052785,12.796481597643815,-2.321149699052782,6.398240798821908,-1.160574849526391
