r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
1.23,28.7,3.4,13.65,27.5,0.0,30.701343618806,14.192335404437053,33.8229934250657,-2.0013436188060005,-5.122993425065697,-0.5886304761194119,-1.5067627720781462
1.84,37.6,2.6,18.65,32.63,0.0,37.58376511207998,20.2502580980719,42.692064286451725,0.016234887920020924,-5.092064286451723,0.006244187661546509,-1.9584862640198935
2.46,43.1,1.2,21.85,36.38,0.0,42.437329086548324,25.82465067374399,49.677353818625505,0.6626709134516773,-6.577353818625504,0.5522257612097311,-5.48112818218792
3.07,50.1,2.8,25.04,38.7,0.0,46.09437709742914,30.789842422765,55.43199433917833,4.005622902570863,-5.33199433917833,1.4305796080610227,-1.9042836925636892
3.68,58.1,4.5,28.73,39.68,0.0,48.98893038228126,35.28860779453568,60.37550115797437,9.11106961771874,-2.275501157974368,2.0246821372708315,-0.505666923994304
4.3,64.6,4.1,32.28,39.98,0.0,51.38481098534858,39.42829157003828,64.76873455712989,13.215189014651415,-0.16873455712989482,3.2232168328418087,-0.04115477003168167
4.91,68.5,2.7,34.59,39.99,0.0,52.87407871537811,43.11556752820912,68.22477822081623,15.625921284621889,0.27522177918376656,5.787378253563662,0.10193399229028391
5.52,72.3,0.8,36.37,39.87,0.0,53.96659892933776,46.456463557058775,71.20812317585916,18.333401070662234,1.09187682414084,22.916751338327792,1.36484603017605
6.14,74.2,2.4,37.73,39.71,0.0,54.776244851212645,49.530696583980685,73.84935276692921,19.423755148787357,0.35064723307078793,8.093231311994733,0.14610301377949497
6.75,78.9,2.6,38.68,39.75,0.0,55.463545685431974,52.2689602158707,76.21186982385535,23.43645431456803,2.6881301761446537,9.014020890218474,1.0338962215940974
7.37,82.4,2.3,39.3,40.35,0.0,56.32594872702989,54.788661643536486,78.57741370578397,26.074051272970117,3.8225862942160376,11.336544031726138,1.6619940409634948
7.98,84.3,4.8,39.72,41.04,0.0,57.11357106677887,57.03299599365786,80.71383172674058,27.18642893322113,3.5861682732594176,5.663839361087736,0.7471183902623787
8.59,85.4,7.3,40.39,41.57,0.0,57.96047791383367,59.066499263494784,82.75426475562713,27.439522086166335,2.6457352443728723,3.758838641940594,0.36242948553053045
9.21,85.3,4.6,40.44,42.03,0.0,58.32593334015324,60.93769275724709,84.3523378370549,26.974066659846756,0.9476621629450932,5.863927534749295,0.20601351368371593
9.82,86.8,4.0,39.94,42.44,0.0,58.27827382481399,62.604391750882385,85.53167288494917,28.521726175186004,1.2683271150508233,7.130431543796501,0.3170817787627058
10.43,85.4,5.7,39.15,42.87,0.0,58.0565190138024,64.11452229502702,86.49411175981585,27.343480986197605,-1.0941117598158456,4.797101927403088,-0.19194943154663957
11.05,85.4,7.0,37.71,43.32,0.0,57.43401866489929,65.50411752746871,87.11748339485268,27.965981335100714,-1.7174833948526782,3.9951401907286734,-0.24535477069323974
11.66,86.2,4.1,36.23,43.95,0.0,56.95801436145751,66.74185001382246,87.74217881536549,29.241985638542495,-1.5421788153654887,7.132191619156707,-0.37614117447938755
12.28,86.1,6.2,35.41,44.71,0.0,57.033781217801085,67.88078940468792,88.66032805152253,29.06621878219891,-2.560328051522532,4.688099803580469,-0.4129561373423439
12.89,87.4,2.5,34.67,45.88,0.0,57.50637616821286,68.8952591230282,89.74151787009845,29.893623831787146,-2.3415178700984427,11.957449532714858,-0.9366071480393771
13.5,86.5,5.5,33.61,48.0,0.0,58.597202151638605,69.81443031928242,91.14651271884152,27.902797848361395,-4.646512718841521,5.0732359724293445,-0.844820494334822
