r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.12,6.48,2.6,-0.66,2.2,0.0,2.296867431960321,4.365109791794959,4.932523035366812,4.18313256803968,1.547476964633188,1.608897141553723,0.5951834479358415
0.19,8.6,2.65,0.47,2.24,0.0,2.2887769659798662,6.627799482858756,7.01186323205058,6.311223034020133,1.58813676794942,2.381593597743447,0.5992968935658189
0.26,10.2,3.03,1.82,2.72,0.0,3.2727358585745967,8.70284815360037,9.297868894785802,6.927264141425402,0.9021311052141971,2.2862257892493076,0.29773303802448753
0.33,11.7,3.55,3.08,2.9,0.0,4.2304136913545465,10.605816555742232,11.418395019180936,7.469586308645453,0.28160498081906304,2.1041088193367474,0.07932534670959522
0.4,12.7,3.75,4.2,2.92,0.0,5.115310352266029,12.35097501424533,13.368357558148737,7.5846896477339705,-0.6683575581487382,2.0225839060623922,-0.17822868217299687
0.47,14.1,3.43,5.32,3.03,0.0,6.122360655825497,13.951410440213003,15.235654015213274,7.977639344174503,-1.1356540152132748,2.325842374394899,-0.3310944650767565
0.55,16.0,3.33,6.65,3.44,0.0,7.487062174177533,15.618617042990195,17.32043008517929,8.512937825822467,-1.3204300851792894,2.5564377855322724,-0.3965255511048917
0.62,18.1,2.66,7.97,3.69,0.0,8.782767217682592,16.948072454887498,19.08858716448434,9.31723278231741,-0.9885871644843398,3.5027190910967705,-0.3716493099565187
0.69,21.2,3.78,9.25,3.81,0.0,10.003929228058343,18.167278383196102,20.739542035747665,11.196070771941656,0.46045796425233476,2.96192348464065,0.12181427625723143
0.76,21.6,3.33,10.36,3.95,0.0,11.087474915416944,19.285377630692842,22.24540155534235,10.512525084583057,-0.6454015553423496,3.1569144398147317,-0.19381428088358846
0.83,23.3,3.09,11.58,4.15,0.0,12.301174740649772,20.310754803019336,23.745434522627146,10.998825259350228,-0.44543452262714567,3.559490375194249,-0.14415356719325104
0.9,24.5,3.26,12.39,4.32,0.0,13.121528112228392,21.251099184685106,24.975662484853608,11.378471887771608,-0.47566248485360774,3.4903287999299413,-0.14590873768515575
0.97,24.4,3.29,13.1,4.46,0.0,13.838410313327177,22.113462400870308,26.086525628276082,10.561589686672821,-1.6865256282760832,3.2102096312075443,-0.5126217715124873
1.04,25.3,2.78,13.71,4.57,0.0,14.451608906969495,22.904311297432997,27.082401592357293,10.848391093030505,-1.7824015923572922,3.90229895432752,-0.6411516519270836
1.11,25.4,2.78,14.22,4.69,0.0,14.973459854021716,23.629576435666927,27.974298606560733,10.426540145978283,-2.5742986065607347,3.7505540093447065,-0.9260066930074586
1.19,25.9,2.73,14.63,4.81,0.0,15.400422072138154,24.38510009354686,28.841048985296965,10.499577927861845,-2.941048985296966,3.8459992409750345,-1.0773073206215993
1.26,26.7,2.67,14.83,4.88,0.0,15.612280422795383,24.98756592718246,29.46390590137855,11.087719577204616,-2.76390590137855,4.152703961499856,-1.0351707495799813
1.33,27.1,3.16,15.03,4.95,0.0,15.824139787046876,25.540070290547025,30.04494284311559,11.275860212953125,-2.9449428431155873,3.5683101939725077,-0.9319439376948061
1.4,28.6,3.34,15.13,5.03,0.0,15.94420898006546,26.046756403674433,30.539340516002554,12.655791019934542,-1.9393405160025523,3.789158988004354,-0.5806408730546564
1.48,28.9,3.21,15.24,5.09,0.0,16.067535591994186,26.574581781465465,31.054373232441776,12.832464408005812,-2.1543732324417775,3.9976524635532127,-0.6711443091718933
1.55,30.4,4.14,15.34,5.13,0.0,16.175057959710685,26.995477610376007,31.470435513546875,14.224942040289314,-1.070435513546876,3.435976338234134,-0.2585593027891005
