r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.77,35.10,3.96,2.22,20.98,133.76
1.59,77.90,3.95,3.89,40.96,176.62
2.36,115.00,6.70,4.02,58.24,176.92
3.13,156.00,3.16,0.90,74.68,172.53
3.95,192.00,3.14,0.00,91.45,173.49
4.73,204.00,2.90,0.00,107.35,174.08
5.50,209.00,3.36,0.00,120.52,167.74
6.27,220.00,3.25,0.00,132.68,159.21
7.08,231.00,3.49,0.00,150.86,150.44
7.86,235.00,4.65,0.24,170.80,142.84
8.66,245.00,6.00,0.00,187.59,136.33
9.45,246.00,5.57,3.80,199.82,130.53
10.24,239.00,6.95,0.00,208.12,125.41
11.02,240.00,7.16,3.35,212.98,120.90
11.79,240.00,4.85,15.63,214.90,116.92
12.47,246.00,7.68,22.51,214.77,113.67
13.34,241.00,6.21,30.77,213.03,109.94
14.11,250.00,5.62,37.16,210.67,106.85
14.59,242.00,5.10,39.71,209.26,105.08
14.98,244.00,7.41,41.88,208.03,103.70
15.75,248.00,5.08,44.73,205.55,101.13
16.52,249.00,5.22,46.30,203.07,98.75
17.10,246.00,6.35,46.79,201.06,97.06
17.88,241.00,16.20,46.99,198.19,94.92
18.65,247.00,14.60,47.18,195.23,92.94
19.62,234.00,20.90,47.77,191.47,90.61
20.78,249.00,10.00,51.51,186.83,88.05
22.13,236.00,16.10,57.31,181.40,85.32
23.00,245.00,22.10,59.87,177.88,83.69
23.58,243.00,4.20,61.24,175.64,82.65
25.03,238.00,7.76,61.05,170.07,80.22
25.90,247.00,6.14,60.16,166.98,78.87
