r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.25,4.25,2.00,1.87,2.88,0.00
0.41,6.84,2.00,3.32,3.93,0.00
0.57,9.56,2.00,4.80,4.80,0.00
0.74,12.30,2.00,6.44,6.36,0.00
0.90,15.10,2.00,8.03,7.43,0.00
1.07,17.50,2.00,9.79,8.56,0.00
1.24,19.70,2.00,11.57,9.52,0.00
1.40,21.80,2.00,13.11,10.08,0.00
1.57,24.40,2.00,14.44,10.55,0.00
1.72,27.30,2.00,15.54,10.95,0.00
1.89,30.30,2.00,16.53,11.36,0.00
2.06,32.60,2.00,17.30,11.57,0.00
2.46,33.30,2.00,18.07,12.23,0.00
2.79,34.60,2.00,18.07,12.94,0.00
3.13,34.20,2.00,17.41,12.45,0.00
