r_kpc,Vobs,err,Vgas,Vdisk,Vbul
2.67,221.00,20.00,-12.02,317.90,136.84
3.21,237.00,13.00,-12.52,344.05,124.77
3.74,249.00,8.00,-12.91,365.51,115.63
4.27,250.00,5.00,-12.71,368.89,108.22
4.81,253.00,5.00,-11.52,367.77,101.96
5.35,257.00,5.00,-9.56,371.23,96.68
5.88,257.00,5.00,-6.26,365.05,92.22
6.41,257.00,5.00,4.80,360.10,88.33
7.48,257.00,5.00,12.22,345.54,81.76
8.55,255.00,5.00,16.59,324.23,76.48
9.62,248.00,6.00,22.45,311.29,72.10
10.66,247.00,6.00,28.21,299.93,68.49
11.74,246.00,6.00,33.77,288.64,65.26
12.83,244.00,6.00,38.94,280.42,62.43
13.91,242.00,4.00,43.31,272.13,59.96
15.00,238.00,3.00,45.59,263.74,57.74
16.08,236.00,3.00,47.38,256.44,55.77
17.07,233.00,3.00,49.66,250.86,54.12
18.15,234.00,3.00,53.93,245.89,52.49
19.24,236.00,3.00,57.71,242.00,50.98
20.32,237.00,3.00,60.09,237.62,49.61
21.41,238.00,3.00,61.78,231.06,48.33
22.49,240.00,3.00,63.67,224.49,47.15
23.48,238.00,3.00,64.56,219.56,46.15
24.57,237.00,3.00,62.97,214.35,45.11
25.65,236.00,3.00,61.48,209.72,44.15
26.74,238.00,3.00,60.79,205.21,43.24
27.82,239.00,3.00,59.40,200.95,42.40
28.91,239.00,3.00,57.31,196.85,41.59
29.89,241.00,4.00,55.13,193.34,40.90
30.98,236.00,4.00,52.84,189.65,40.18
32.06,236.00,5.00,51.55,186.20,39.49
33.15,239.00,5.00,51.35,182.89,38.84
34.23,237.00,5.00,50.86,179.88,38.22
35.32,241.00,7.00,49.27,177.27,37.63
36.31,238.00,9.00,47.97,173.78,37.11
