r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.09,231.00,52.90,-0.75,12.18,80.49
0.17,231.00,27.90,-0.90,23.29,154.33
0.26,231.00,16.40,-0.97,35.20,203.79
0.34,231.00,11.90,-1.00,45.31,224.63
0.43,232.00,8.04,-1.04,56.16,236.57
0.51,232.00,6.53,-1.11,65.37,243.18
0.60,232.00,4.75,-1.21,75.35,248.89
0.69,232.00,4.00,-1.34,84.97,252.61
0.77,233.00,5.69,-1.48,93.17,255.01
0.86,233.00,4.83,-1.64,102.03,256.40
0.95,234.00,10.80,-1.82,110.51,257.17
1.03,235.00,10.30,-2.00,117.74,258.40
1.11,235.00,10.60,-2.17,124.74,258.76
1.20,236.00,10.20,-2.35,132.45,259.47
1.29,237.00,10.60,-2.54,139.94,259.74
1.38,238.00,14.20,-2.73,147.10,259.48
1.46,238.00,14.10,-2.94,153.23,258.65
1.55,239.00,19.60,-3.15,159.87,257.13
1.63,240.00,17.80,-3.37,165.58,255.36
1.72,241.00,7.14,-3.59,171.83,252.89
1.80,242.00,11.90,-3.81,177.21,250.43
1.89,243.00,10.90,-4.02,183.03,247.35
1.98,244.00,17.60,-4.24,188.55,244.09
2.07,246.00,11.40,-4.48,193.82,240.73
2.15,247.00,12.90,-4.72,198.33,237.68
2.23,248.00,15.40,-4.99,202.68,234.62
2.32,249.00,17.60,-5.25,207.44,231.17
2.40,251.00,24.00,-5.52,211.55,228.14
2.49,252.00,10.10,-5.80,216.16,224.74
2.58,253.00,12.00,-6.06,220.83,221.41
2.67,254.00,6.34,-6.31,225.64,218.17
2.75,256.00,6.22,-6.56,230.00,215.36
2.83,257.00,5.60,-6.82,234.46,212.60
2.92,259.00,8.73,-7.07,239.57,209.57
3.00,260.00,5.19,-7.31,243.97,206.96
3.09,262.00,11.00,-7.55,248.68,204.14
3.18,263.00,16.00,-7.78,252.98,201.42
3.27,264.00,13.10,-8.00,256.93,198.78
3.35,266.00,11.80,-8.21,260.17,196.48
3.43,267.00,12.70,-8.40,263.10,194.27
4.21,280.00,5.52,-9.93,282.25,175.61
4.29,282.00,2.35,-10.07,283.70,173.97
4.38,283.00,5.10,-10.20,285.12,172.20
4.47,285.00,4.61,-10.32,286.54,170.45
4.80,290.00,10.80,-10.66,290.98,164.51
5.25,296.00,2.85,-10.87,296.92,157.31
5.32,298.00,1.92,-10.98,297.80,156.27
5.41,299.00,4.29,-10.98,298.79,154.97
5.50,300.00,4.92,-10.87,299.65,153.70
5.58,301.00,2.24,-10.87,300.25,152.59
5.67,302.00,4.59,-10.87,300.59,151.39
5.76,303.00,5.07,-10.77,301.15,150.21
6.00,306.00,7.89,-10.56,302.48,147.17
6.18,307.00,4.41,-10.25,303.22,145.01
6.27,308.00,3.20,-10.11,303.58,143.96
6.36,309.00,6.66,-9.94,303.97,142.94
6.45,310.00,5.83,-9.76,304.41,141.93
6.53,310.00,3.83,-9.58,304.83,141.06
6.61,311.00,2.41,-9.37,305.34,140.20
6.70,312.00,1.25,-9.15,306.03,139.26
6.79,312.00,3.61,-8.91,306.85,138.35
6.87,313.00,13.80,-8.64,307.19,137.53
6.96,313.00,4.58,-8.36,307.95,136.63
7.05,314.00,3.05,-8.05,308.63,135.75
7.20,315.00,1.38,-7.43,309.44,134.31
7.39,316.00,0.75,-6.59,309.73,132.58
7.47,316.00,8.57,-6.16,309.53,131.86
7.99,318.00,1.36,-2.38,307.52,127.53
8.08,318.00,16.00,-0.67,307.34,126.82
8.16,318.00,5.50,2.00,307.11,126.20
8.25,319.00,2.94,2.92,307.22,125.51
8.34,319.00,1.74,3.49,307.32,124.83
8.40,319.00,2.20,3.85,307.36,124.38
9.59,319.00,3.23,7.94,304.71,116.41
10.80,317.00,4.08,12.02,299.89,109.70
12.02,312.00,2.62,17.77,298.77,103.98
13.22,308.00,0.76,22.79,295.36,99.15
14.42,303.00,1.86,24.88,287.38,94.93
15.63,298.00,1.34,24.46,274.79,91.19
16.83,296.00,1.41,24.25,262.23,87.87
18.03,294.00,1.15,25.92,253.58,84.90
19.23,294.00,0.59,28.33,245.50,82.21
20.43,294.00,0.50,31.05,237.34,79.76
21.64,292.00,1.21,33.56,229.62,77.50
22.84,290.00,1.21,34.91,222.49,75.43
24.04,287.00,0.81,34.60,215.84,73.53
25.24,283.00,1.08,32.72,209.67,71.76
26.44,279.00,1.87,31.05,203.93,70.11
27.65,276.00,1.55,30.52,198.57,68.56
28.85,273.00,1.90,30.21,193.62,67.12
30.05,271.00,1.12,30.00,189.02,65.76
31.25,270.00,1.41,30.73,184.73,64.49
32.34,268.00,1.76,31.88,181.07,63.39
33.55,267.00,1.81,33.03,177.28,62.24
34.75,266.00,2.18,33.45,173.75,61.15
35.95,265.00,3.01,33.24,170.44,60.13
37.15,264.00,2.04,32.93,167.32,59.15
38.35,264.00,1.58,32.82,164.38,58.21
39.56,264.00,3.23,33.03,161.57,57.32
40.76,264.00,2.94,33.76,158.94,56.47
41.96,264.00,1.62,34.29,156.44,55.65
43.16,264.00,2.15,34.29,154.06,54.87
44.36,262.00,4.45,34.08,151.79,54.13
45.57,260.00,7.43,34.39,149.61,53.40
46.77,258.00,7.22,34.81,147.54,52.71
47.97,257.00,5.37,34.81,145.56,52.05
49.17,258.00,5.43,34.60,143.67,51.41
50.37,260.00,6.47,34.60,141.84,50.79
51.58,263.00,5.75,34.60,140.10,50.20
52.78,265.00,5.54,34.18,138.41,49.62
53.98,266.00,4.43,33.56,136.79,49.07
55.18,266.00,4.71,33.14,135.22,48.53
