file,bytes,rows,mu_min,mu_max,r_min,r_max,kill_zeros
CamB.sfb,531,23,20.803,25.488,2.4,132.49,0
D500-3.sfb,465,20,20.068,27.074,2.4,132.49,6
D500-4.sfb,509,22,20.143,28.839,2.4,190.79,7
D512-2.sfb,575,25,20.201,28.235,2.4,329.69,6
D564-8.sfb,949,42,21.73,29.864,3,198.79,19
D568-2.sfb,861,38,19.905,29.396,2.4,232.84,13
D570-4.sfb,487,21,21.002,26.639,2.4,158.99,3
D572-5.sfb,1191,53,20.153,27.973,0.63,211.67,9
D575-1.sfb,553,24,20.948,26.655,2.4,158.99,3
D575-7.sfb,443,19,20.643,29.589,2.4,132.49,4
D584-2.sfb,1257,56,20.005,28.83,0.63,174.94,9
D631-7.sfb,531,23,20.182,27.476,2.4,158.99,3
D640-13.sfb,553,24,20.691,27.78,2.4,190.79,7
D723-5.sfb,1138,53,19.701,28.193,0.63,98.75,6
DDO064.sfb,1279,57,19.997,26.73,0.63,174.94,4
DDO154.sfb,1235,55,20.123,30.782,0.65,112.21,5
DDO161.sfb,1433,64,18.657,27.717,0.65,387.39,6
DDO168.sfb,1323,59,19.711,23.275,0.65,164.29,0
DDO170.sfb,1103,49,20.259,25.002,2.05,240.54,8
DDO181.sfb,531,23,20.632,25.268,2.4,158.99,0
ESO079-G014.sfb,1455,65,15.482,27.204,0.65,352.17,4
ESO116-G012.sfb,1059,47,16.901,23.621,1.86,218.67,4
ESO215-G009.sfb,466,21,20.25,26.334,2.4,92.01,0
ESO444-G084.sfb,553,24,20.571,27.304,2.4,190.79,5
ESO563-G021.sfb,1345,60,14.551,24.871,0.63,174.94,1
F415-3.sfb,509,22,21.008,26.353,2.4,132.49,0
F530-3.sfb,1096,51,18.545,27.018,0.63,74.19,5
F561-1.sfb,1279,57,19.895,30.51,0.63,192.43,13
F563-1.sfb,1075,50,19.758,26.317,0.65,69.68,4
F563-V1.sfb,1235,55,20.912,28.828,0.63,192.43,6
F563-V2.sfb,619,27,19.709,31.612,2.4,274.74,10
F565-V2.sfb,424,19,21.239,26.574,2.4,92.01,3
F567-2.sfb,382,17,20.787,26.542,2.4,53.25,2
F568-1.sfb,1033,48,19.434,28.194,0.65,69.68,5
F568-3.sfb,1169,52,19.012,28.002,0.65,102.01,3
F568-6.sfb,1345,60,15.362,27.799,0.63,192.43,2
F568-V1.sfb,1213,54,19.474,29.419,0.63,159.03,11
F571-5.sfb,1169,52,20.349,29.419,0.63,192.43,9
F571-8.sfb,1096,51,15.543,27.13,0.63,74.19,5
F571-V1.sfb,1257,56,20.54,28.938,0.63,192.43,16
F574-1.sfb,1033,48,18.788,29.076,0.63,81.61,3
F574-2.sfb,1148,50,20.923,32.441,0.63,159.03,8
F577-V1.sfb,424,19,20.485,28.855,2.4,76.68,3
F579-V1.sfb,1103,49,19.037,30.947,0.63,144.58,3
F583-1.sfb,487,21,20.16,26.858,2.4,110.41,3
F583-4.sfb,773,34,20.372,30.236,3,164.29,10
F583-5.sfb,1235,55,20.498,26.355,0.63,144.58,3
F585-3.sfb,1213,54,19.491,28.95,0.63,108.62,5
F585-V1.sfb,465,20,21.091,27.618,2.4,190.79,6
F611-1.sfb,1117,52,21.097,30.543,0.63,98.75,7
F746-1.sfb,445,20,19.821,26.878,2.4,92.01,2
GR8.sfb,424,19,20.688,26.439,2.4,63.9,1
IC2574.sfb,1565,70,19.617,23.843,0.65,468.74,3
IC4202.sfb,1367,61,15.145,25.217,0.65,567.18,7
KK98-251.sfb,445,20,20.561,22.59,2.4,76.68,3
NGC0024.sfb,1499,67,16.705,25.19,0.65,352.17,3
NGC0055.sfb,641,28,16.712,20.126,7.2,989.07,0
NGC0100.sfb,1433,64,17.13,27.376,0.65,291.05,4
NGC0247.sfb,808,34,17.967,26.865,7.2,1766.8,8
NGC0289.sfb,1521,68,14.084,30.965,0.65,387.39,3
NGC0300.sfb,1213,54,16.957,21.807,1.96,306.04,4
NGC0801.sfb,1345,60,14.089,27.845,0.65,218.67,3
NGC0891.sfb,1499,67,13.758,23.106,0.65,352.17,20
NGC0959.sfb,1279,57,16.786,26.363,0.65,198.79,2
NGC1003.sfb,1367,61,16.635,24.851,0.63,192.43,1
NGC1090.sfb,1279,57,15.753,27.633,0.65,135.78,2
NGC1167.sfb,1301,58,13.967,24.997,0.63,144.58,0
NGC1705.sfb,905,40,16.941,27.479,2.73,218.67,2
NGC2366.sfb,993,44,19.885,26.079,3,218.67,3
NGC2403.sfb,1191,53,16.518,21.457,3,426.13,3
NGC2683.sfb,1543,69,13.157,25.358,0.65,515.62,4
NGC2841.sfb,1521,68,12.395,22.443,0.65,387.39,1
NGC2903.sfb,1587,71,12.96,24.076,0.65,515.62,3
NGC2915.sfb,1323,59,16.455,25.3,0.65,164.29,1
NGC2955.sfb,1389,62,14.708,28.549,0.65,291.05,3
NGC2976.sfb,1455,65,15.589,22.43,0.65,291.05,0
NGC2998.sfb,1279,57,15.762,25.978,0.65,135.78,0
NGC3109.sfb,751,33,19.255,23.831,2.4,820.37,3
NGC3198.sfb,1523,66,14.171,23.9,0.65,320.16,0
NGC3521.sfb,1521,68,12.109,22.889,0.65,387.39,0
NGC3726.sfb,1455,65,14.935,24.183,0.65,291.05,2
NGC3741.sfb,1235,55,18.985,28.004,0.65,112.21,5
NGC3769.sfb,1411,63,15.64,25.2,0.65,240.54,2
NGC3877.sfb,1477,66,13.809,27.956,0.65,320.16,3
NGC3893.sfb,1323,59,14.39,23.241,0.65,164.29,0
NGC3917.sfb,1455,65,16.627,26.248,0.65,387.39,2
NGC3949.sfb,1411,63,14.999,24.35,0.65,291.05,3
NGC3953.sfb,1411,63,13.551,23.392,0.65,240.54,0
NGC3972.sfb,1455,65,16.281,25.797,0.65,320.16,6
NGC3992.sfb,1565,70,13.564,26.052,0.65,468.74,3
NGC4010.sfb,1587,71,16.271,24.672,0.62,492.87,10
NGC4013.sfb,1389,62,13.589,24.669,0.65,320.16,3
NGC4051.sfb,1477,66,12.049,23.072,0.65,320.16,1
NGC4068.sfb,1455,65,19.673,27.88,0.65,291.05,7
NGC4085.sfb,1257,56,14.347,26.828,0.65,135.78,3
NGC4088.sfb,1521,68,13.681,27.634,0.65,426.13,7
NGC4100.sfb,1587,71,13.994,26.63,0.65,567.18,10
NGC4138.sfb,1389,62,12.968,26.078,0.65,352.17,5
NGC4157.sfb,1499,67,14.142,25.086,0.65,468.74,3
NGC4183.sfb,1477,66,16.499,28.757,0.65,426.13,4
NGC4214.sfb,1037,46,16.166,27.854,3,240.54,4
NGC4217.sfb,1477,66,14.119,27.331,0.65,352.17,3
NGC4389.sfb,1499,67,15.674,26.503,0.65,352.17,23
NGC4559.sfb,1191,53,16.284,27.406,3,426.13,2
NGC4654.sfb,1213,54,14.432,23.225,1.86,291.05,4
NGC5005.sfb,1587,71,13.67,24.364,0.65,515.62,0
NGC5033.sfb,1543,69,12.465,25.088,0.65,426.13,2
NGC5055.sfb,1565,70,12.239,23.56,0.65,468.74,1
NGC5371.sfb,1389,62,13.841,24.204,0.65,218.67,2
NGC5585.sfb,1411,63,17.041,25.375,0.65,264.59,2
NGC5907.sfb,1587,71,13.863,23.008,0.65,515.62,3
NGC5985.sfb,1389,62,14.96,24.569,0.65,218.67,2
NGC6015.sfb,1389,62,15.824,25.792,0.65,218.67,2
NGC6195.sfb,1279,57,14.82,25.303,0.63,131.43,0
NGC6503.sfb,1477,66,14.598,22.959,0.65,320.16,0
NGC6674.sfb,927,41,15.313,22.876,3,135.78,3
NGC6789.sfb,1257,56,18.796,25.8,0.65,123.43,3
NGC6946.sfb,1543,69,12.132,21.56,0.65,426.13,2
NGC7331.sfb,1543,69,12.196,22.749,0.65,426.13,3
NGC7339.sfb,1196,61,12.547,25.5462,0.72,221.054,4
NGC7793.sfb,1543,69,14.732,24.037,0.65,426.13,2
NGC7814.sfb,1368,61,11.053,23.824,0.21,218.67,2
PGC51017.sfb,1033,48,20.41,26.698,0.65,76.64,9
UGC00128.sfb,1345,60,18.787,29.915,0.65,218.67,9
UGC00191.sfb,1257,56,18.884,27.03,0.65,149.36,5
UGC00477.sfb,1323,59,17.991,25.307,0.65,164.29,2
UGC00628.sfb,1213,54,18.661,27.763,0.63,131.43,6
UGC00634.sfb,1213,54,19.636,27.13,0.65,149.36,6
UGC00731.sfb,817,36,19.293,25.719,6.43,198.79,3
UGC00891.sfb,1303,56,19.734,26.115,0.65,198.79,2
UGC01195.sfb,1367,61,18.142,25.136,0.63,192.43,0
UGC01230.sfb,1117,52,19.463,28.286,0.63,81.61,1
UGC01281.sfb,1543,69,18.441,26.936,0.65,468.74,7
UGC01551.sfb,1345,60,18.134,26.784,0.63,192.43,5
UGC02014.sfb,1279,57,20.366,28.306,0.63,131.43,4
UGC02023.sfb,1433,64,19.831,29.407,0.65,426.13,6
UGC02259.sfb,1367,61,18.865,26.833,0.65,198.79,8
UGC02455.sfb,1389,62,15.888,24.203,0.65,218.67,0
UGC02487.sfb,971,43,15.225,24.377,3,164.29,0
UGC02885.sfb,1499,67,14.373,26.722,0.65,240.54,10
UGC02916.sfb,1033,48,14.589,24.049,0.65,92.74,10
UGC02953.sfb,1411,63,13.396,25.211,0.65,240.54,2
UGC03205.sfb,1433,64,14.912,24.907,0.65,291.05,11
UGC03546.sfb,1323,59,12.513,25.396,0.65,264.59,1
UGC03580.sfb,1367,61,15.274,24.759,0.65,264.59,5
UGC04278.sfb,1477,66,17.797,29.484,0.65,426.13,8
UGC04305.sfb,619,27,19.805,26.093,2.4,274.74,3
UGC04325.sfb,1257,56,18.921,24.05,0.65,123.43,0
UGC04483.sfb,1257,56,20.424,26.749,0.65,164.29,15
UGC04499.sfb,1323,59,18.453,24.708,0.65,164.29,3
UGC05005.sfb,927,41,20.487,29.634,3.3,218.67,13
UGC05209.sfb,443,19,20.986,28.291,2.4,110.41,2
UGC05253.sfb,1521,68,13.182,24.793,0.65,387.39,1
UGC05271.sfb,1279,57,16.556,24.043,0.65,135.78,0
UGC05272.sfb,1257,56,19.973,25.621,0.65,123.43,0
UGC05414.sfb,1323,59,19.363,25.72,0.65,164.29,2
UGC05709.sfb,1075,50,18.259,27.194,0.63,89.77,4
UGC05716.sfb,597,26,20.049,30.576,2.4,274.74,8
UGC05721.sfb,1257,56,17.046,27.626,0.65,164.29,3
UGC05750.sfb,553,24,19.848,27.336,2.4,274.74,5
UGC05764.sfb,1323,59,19.861,28.043,0.65,218.67,6
UGC05829.sfb,1301,58,20.271,24.643,0.65,198.79,0
UGC05918.sfb,553,24,21.115,25.493,2.4,158.99,2
UGC05986.sfb,1433,64,16.65,27.827,0.65,320.16,6
UGC05999.sfb,883,39,20.33,27.797,3,240.54,7
UGC06145.sfb,1191,53,21.019,26.896,0.65,164.29,10
UGC06399.sfb,1279,57,18.615,29.228,0.65,198.79,5
UGC06446.sfb,1279,57,18.91,28.249,0.65,149.36,4
UGC06614.sfb,1096,51,14.441,25.49,0.65,76.64,0
UGC06628.sfb,1367,61,18.339,27.604,0.65,218.67,2
UGC06667.sfb,531,23,17.733,20.302,2.4,132.49,0
UGC06786.sfb,1323,59,13.913,23.895,0.65,164.29,0
UGC06787.sfb,1521,68,12.704,25.276,0.65,387.39,3
UGC06818.sfb,1257,56,18.699,30.871,0.65,123.43,4
UGC06917.sfb,1323,59,17.896,26.592,0.65,198.79,4
UGC06923.sfb,1213,54,17.38,25.43,0.65,102.01,0
UGC06930.sfb,1367,61,17.676,26.212,0.65,198.79,2
UGC06973.sfb,1235,55,13.622,23.643,0.72,123.43,0
UGC06983.sfb,1367,61,17.878,28.491,0.65,240.54,3
UGC07089.sfb,1301,58,18.425,26.095,0.65,149.36,2
UGC07125.sfb,1345,60,18.907,27.401,0.65,180.72,2
UGC07151.sfb,1433,64,17.337,24.504,0.65,352.17,1
UGC07232.sfb,1367,61,18.762,26.872,0.65,240.54,6
UGC07261.sfb,1191,53,18.066,25.961,0.65,102.01,1
UGC07278.sfb,1301,58,16.018,22.552,0.65,149.36,0
UGC07323.sfb,1389,62,18.433,25.924,0.72,240.54,2
UGC07399.sfb,1323,59,17.553,23.714,0.65,164.29,0
UGC07524.sfb,1521,68,14.406,22.425,0.65,387.39,0
UGC07559.sfb,1279,57,19.949,27.662,0.65,135.78,3
UGC07577.sfb,1125,50,18.254,25.485,1.27,164.29,2
UGC07603.sfb,1323,59,18.056,24.474,0.65,164.29,8
UGC07608.sfb,1279,57,20.241,23.906,0.65,135.78,0
UGC07690.sfb,1235,55,18.064,25.769,0.65,123.43,2
UGC07866.sfb,971,43,20.107,27.251,3,164.29,2
UGC08055.sfb,1235,55,19.301,29.467,0.65,123.43,6
