pubDate	title	link	categories
Sat, 13 Dec 2025 12:10:10 EST	Yuletide kissers, smooch without guilt: Research suggests your mistletoe didn't harm its tree host	https://phys.org/news/2025-12-yuletide-kissers-smooch-guilt-mistletoe.html	Ecology
Sat, 13 Dec 2025 09:30:01 EST	Misinformation is an inevitable biological reality across nature, researchers argue	https://phys.org/news/2025-12-misinformation-inevitable-biological-reality-nature.html	Evolution Ecology
Fri, 12 Dec 2025 14:00:02 EST	Unique bond identified as key to viral infection speed	https://phys.org/news/2025-12-unique-bond-key-viral-infection.html	Cell & Microbiology Molecular & Computational biology
Fri, 12 Dec 2025 13:46:14 EST	A new medium for canine stem cells that doesn't contain any human components	https://phys.org/news/2025-12-medium-canine-stem-cells-doesnt.html	Cell & Microbiology Biotechnology
Fri, 12 Dec 2025 13:32:20 EST	Smarter tools for peering into the microscopic world developed	https://phys.org/news/2025-12-smarter-tools-peering-microscopic-world.html	Cell & Microbiology Molecular & Computational biology
Fri, 12 Dec 2025 11:49:20 EST	Glycitein biosynthetic pathway sheds light on soybean disease resistance	https://phys.org/news/2025-12-glycitein-biosynthetic-pathway-soybean-disease.html	Molecular & Computational biology Agriculture
Fri, 12 Dec 2025 11:37:23 EST	Genomic study reveals how vascular plants adapt to aquatic environments	https://phys.org/news/2025-12-genomic-reveals-vascular-aquatic-environments.html	Plants & Animals Evolution
Fri, 12 Dec 2025 09:20:06 EST	Roundworms discovered in Great Salt Lake are new to science	https://phys.org/news/2025-12-roundworms-great-salt-lake-science.html	Plants & Animals Ecology
Fri, 12 Dec 2025 09:08:16 EST	Storm study shows adaptive selection in southeast lizards	https://phys.org/news/2025-12-storm-southeast-lizards.html	Plants & Animals Evolution
Fri, 12 Dec 2025 08:42:10 EST	'Self-activation' is part of the success strategy of parasitic weeds	https://phys.org/news/2025-12-success-strategy-parasitic-weeds.html	Plants & Animals Ecology
Fri, 12 Dec 2025 08:30:26 EST	A healthier sugar substitute: Engineered bacteria yield a sweet solution	https://phys.org/news/2025-12-healthier-sugar-substitute-bacteria-yield.html	Cell & Microbiology Biotechnology
Fri, 12 Dec 2025 05:00:08 EST	Swedish freshwater bacteria reveal lost genes and unexpected photosynthesis abilities	https://phys.org/news/2025-12-swedish-freshwater-bacteria-reveal-lost.html	Evolution Cell & Microbiology
Fri, 12 Dec 2025 05:00:03 EST	Plant hormone allows lifelong control of proteins in living animal for first time	https://phys.org/news/2025-12-hormone-lifelong-proteins-animal.html	Biotechnology Molecular & Computational biology
