pubDate	title	link	categories
Sat, 13 Dec 2025 11:20:04 EST	Zero lasing modes are not always topological	https://phys.org/news/2025-12-lasing-modes-topological.html	Optics & Photonics
Fri, 12 Dec 2025 11:39:27 EST	Atomic Josephson contacts: How Bose-Einstein condensates replicate Shapiro steps	https://phys.org/news/2025-12-atomic-josephson-contacts-bose-einstein.html	Superconductivity Quantum Physics
Fri, 12 Dec 2025 10:58:14 EST	Water's enigmatic surface: X-ray snapshots reveal atoms and molecules at work	https://phys.org/news/2025-12-enigmatic-surface-ray-snapshots-reveal.html	Optics & Photonics Soft Matter
Fri, 12 Dec 2025 09:30:35 EST	Pinpointing the glow of a single atom to advance quantum emitter engineering	https://phys.org/news/2025-12-atom-advance-quantum-emitter.html	General Physics Quantum Physics
Thu, 11 Dec 2025 19:50:01 EST	Dual substitution induces room-temperature ferromagnetism and negative thermal expansion in BiFeO₃	https://phys.org/news/2025-12-dual-substitution-room-temperature-ferromagnetism.html	Condensed Matter
Thu, 11 Dec 2025 16:46:37 EST	Tiny optical modulator could enable giant future quantum computers	https://phys.org/news/2025-12-tiny-optical-modulator-enable-giant.html	Optics & Photonics Quantum Physics
Thu, 11 Dec 2025 14:54:30 EST	Chip-scale magnetometer uses light for high-precision magnetic sensing	https://phys.org/news/2025-12-chip-scale-magnetometer-high-precision.html	Condensed Matter Optics & Photonics
Thu, 11 Dec 2025 08:40:01 EST	All-optical modulation in silicon achieved via an electron avalanche process	https://phys.org/news/2025-12-optical-modulation-silicon-electron-avalanche.html	Optics & Photonics Quantum Physics
Wed, 10 Dec 2025 14:33:14 EST	Using soccer balls to refine computational fluid dynamics research methods	https://phys.org/news/2025-12-soccer-balls-refine-fluid-dynamics.html	General Physics Soft Matter
Wed, 10 Dec 2025 14:20:02 EST	Magnetic ordering induces Jahn-Teller effect in spinel-type compounds	https://phys.org/news/2025-12-magnetic-jahn-teller-effect-spinel.html	Condensed Matter
Wed, 10 Dec 2025 13:25:28 EST	Study links vanishing of specific heats at absolute zero with principle of entropy increase	https://phys.org/news/2025-12-links-specific-absolute-principle-entropy.html	General Physics
Wed, 10 Dec 2025 12:36:34 EST	ALICE solves mystery of light-nuclei survival	https://phys.org/news/2025-12-alice-mystery-nuclei-survival.html	General Physics
Wed, 10 Dec 2025 12:19:25 EST	The rhythm of swarms: Tunable particles synchronize movement like living organisms	https://phys.org/news/2025-12-rhythm-swarms-tunable-particles-synchronize.html	General Physics Soft Matter
Wed, 10 Dec 2025 12:15:45 EST	Direct observation reveals 'two-in-one' roles of plasma turbulence	https://phys.org/news/2025-12-reveals-roles-plasma-turbulence.html	Plasma Physics
Wed, 10 Dec 2025 12:12:16 EST	New iron telluride thin film achieves superconductivity for quantum computer chips	https://phys.org/news/2025-12-iron-telluride-thin-superconductivity-quantum.html	Superconductivity Quantum Physics
Wed, 10 Dec 2025 11:00:04 EST	An old jeweler's trick could unlock next-generation nuclear clocks	https://phys.org/news/2025-12-jeweler-generation-nuclear-clocks.html	General Physics
Wed, 10 Dec 2025 09:20:06 EST	Quantum machine learning nears practicality as partial error correction reduces hardware demands	https://phys.org/news/2025-12-quantum-machine-nears-partial-error.html	Quantum Physics
Wed, 10 Dec 2025 09:10:02 EST	Neutrino observatories show promise for detecting light dark matter	https://phys.org/news/2025-12-neutrino-observatories-dark.html	General Physics
Wed, 10 Dec 2025 09:00:10 EST	Ghostly solar neutrinos caught transforming carbon atoms deep underground	https://phys.org/news/2025-12-ghostly-solar-neutrinos-caught-carbon.html	General Physics
Tue, 09 Dec 2025 17:50:02 EST	'Light-bending' material that controls blue and ultraviolet light could transform advanced chipmaking	https://phys.org/news/2025-12-material-blue-ultraviolet-advanced-chipmaking.html	Condensed Matter Optics & Photonics
Tue, 09 Dec 2025 12:37:15 EST	Surprising nanoscopic heat traps found in diamonds	https://phys.org/news/2025-12-nanoscopic-diamonds.html	Optics & Photonics Quantum Physics
Tue, 09 Dec 2025 12:03:33 EST	Laser draws made-to-order magnetic landscapes	https://phys.org/news/2025-12-laser-magnetic-landscapes.html	Condensed Matter Optics & Photonics
Tue, 09 Dec 2025 11:10:02 EST	Electron-phonon interactions in crystals found to be quantized by a fundamental constant	https://phys.org/news/2025-12-electron-phonon-interactions-crystals-quantized.html	Condensed Matter Quantum Physics
Tue, 09 Dec 2025 09:30:01 EST	A new traveling-wave Josephson amplifier with built-in reverse isolation	https://phys.org/news/2025-12-josephson-amplifier-built-reverse-isolation.html	Superconductivity Quantum Physics
Tue, 09 Dec 2025 08:51:39 EST	From light to logic: Ultrafast quantum switching in 2D materials	https://phys.org/news/2025-12-logic-ultrafast-quantum-2d-materials.html	Optics & Photonics Quantum Physics
Tue, 09 Dec 2025 04:23:21 EST	CERN upbeat as China halts particle accelerator mega-project	https://phys.org/news/2025-12-cern-upbeat-china-halts-particle.html	General Physics
