cell,cidx,Ah
RW1,0,2.09502533
RW1,1,2.00034861
RW1,2,1.95846651
RW1,3,1.91120000
RW1,4,1.86987333
RW1,5,1.82659028
RW1,6,1.78844722
RW1,7,1.74604722
RW1,8,1.71417778
RW1,9,1.68499861
RW1,10,1.64428056
RW1,11,1.61830694
RW1,12,1.59644722
RW1,13,1.87972700
RW1,14,1.62006806
RW1,15,1.57155139
RW1,16,1.53611944
RW1,17,1.51149028
RW1,18,1.45545139
RW1,19,1.45000694
RW1,20,1.38125417
RW1,21,1.35408472
RW1,22,1.33153333
RW1,23,1.76709322
RW1,24,1.41665826
RW1,25,1.25634722
RW1,26,1.15893472
RW2,0,2.06661686
RW2,1,1.98691667
RW2,2,1.91572119
RW2,3,1.83625417
RW2,4,1.75776111
RW2,5,1.70499583
RW2,6,1.65972778
RW2,7,1.63415186
RW2,8,1.59985556
RW2,9,1.58124904
RW2,10,1.56249230
RW2,11,1.52471250
RW2,12,1.49045833
RW2,13,1.81967189
RW2,14,1.52375694
RW2,15,1.45271939
RW2,16,1.42884167
RW2,17,1.39768580
RW2,18,1.34217917
RW2,19,1.28942639
RW2,20,1.30260000
RW2,21,1.29459317
RW2,22,1.31347500
RW2,23,1.26114306
RW2,24,1.70336617
RW2,25,1.35801944
RW2,26,1.24204608
RW2,27,1.15865139
RW2,28,1.12298750
RW7,0,2.06460256
RW7,1,1.99785833
RW7,2,1.94597778
RW7,3,1.88241667
RW7,4,1.82669075
RW7,5,1.77403649
RW7,6,1.71723889
RW7,7,1.61433194
RW7,8,1.65117988
RW7,9,1.63165769
RW7,10,1.60510542
RW7,11,1.57720833
RW7,12,1.54199889
RW7,13,1.84552733
RW7,14,1.57399627
RW7,15,1.50507639
RW7,16,1.46727500
RW7,17,1.41043472
RW7,18,1.35570556
RW7,19,1.31887361
RW7,20,1.25362083
RW7,21,1.21210972
RW7,22,1.23230649
RW7,23,1.51793600
RW7,24,1.30115972
RW7,25,1.12976111
RW7,26,1.06438501
RW7,27,1.04003333
RW8,0,2.11730578
RW8,1,1.98744722
RW8,2,1.89585556
RW8,3,1.82405417
RW8,4,1.74998472
RW8,5,1.70726250
RW8,6,1.65376111
RW8,7,1.52320417
RW8,8,1.59961656
RW8,9,1.56990000
RW8,10,1.53822222
RW8,11,1.51685000
RW8,12,1.47500833
RW8,13,1.87574917
RW8,14,1.53976250
RW8,15,1.47497361
RW8,16,1.41997361
RW8,17,1.36763000
RW8,18,1.32867083
RW8,19,1.27282917
RW8,20,1.22931806
RW8,21,1.21827917
RW8,22,1.21768333
RW8,23,1.73847406
RW8,24,1.30586667
RW8,25,1.17057439
RW8,26,1.08127639
